Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
168,ETSY,0.4193655122488227,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
169,EVRG,0.109283251558528,Evergy,Utilities,Electric Utilities
170,EW,0.2646807781910818,Edwards Lifesciences,Health Care,Health Care Equipment
171,EXC,0.1189201029485595,Exelon,Utilities,Multi-Utilities
172,EXPD,0.2111948126011025,Expeditors International,Industrials,Air Freight & Logistics
173,EXPE,0.1754272788887134,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail
174,EXR,0.2600779853356243,Extra Space Storage,Real Estate,Self-Storage REITs
175,F,0.0813182317508018,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
176,FANG,0.3989040211024353,Diamondback Energy,Energy,Oil & Gas Exploration & Production
177,FAST,0.2151191677234929,Fastenal,Industrials,Building Products
178,FCX,0.2718449566653269,Freeport-McMoRan,Materials,Copper
179,FDS,0.23339650171125,FactSet,Financials,Financial Exchanges & Data
180,FDX,0.1347010296968405,FedEx,Industrials,Air Freight & Logistics
181,FE,0.090484826962935,FirstEnergy,Utilities,Electric Utilities
182,FFIV,0.3602141673158612,"F5, Inc.",Information Technology,Communications Equipment
183,FICO,0.2670645823989421,Fair Isaac,Information Technology,Application Software
184,FIS,0.1314734562853428,FIS,Financials,Transaction & Payment Processing Services
185,FISV,0.1922480104139603,Fiserv,Financials,Transaction & Payment Processing Services
186,FITB,0.1331907118167177,Fifth Third Bank,Financials,Regional Banks
187,FLT,0.2353417152688504,Fleetcor,Financials,Transaction & Payment Processing Services
188,FMC,0.2051977653581076,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
189,FOX,0.0143565912649239,Fox Corporation (Class B),Communication Services,Movies & Entertainment
190,FOXA,0.0475220126049451,Fox Corporation (Class A),Communication Services,Movies & Entertainment
191,FRC,0.0415643612929019,First Republic Bank,Financials,Regional Banks
192,FRT,0.1590431697246348,Federal Realty,Real Estate,Retail REITs
193,FSLR,0.3621745497002093,First Solar,Information Technology,Semiconductors
194,FTNT,0.4314586502991586,Fortinet,Information Technology,Systems Software
195,FTV,0.1184880075093668,Fortive,Industrials,Industrial Machinery & Supplies & Components
196,GD,0.14732166875666,General Dynamics,Industrials,Aerospace & Defense
197,GE,0.0496169996053439,General Electric,Industrials,Industrial Conglomerates
198,GEHC,1.670010329364112,GE HealthCare,Health Care,Health Care Technology
199,GEN,0.2329906858507744,Gen Digital,Information Technology,Application Software
